TimeSinceStart,TrialNo,TrialID,ParticipantID,ExperimentSequence,Layout,Difficulty,TrialState,CameraPosition.x,CameraPosition.y,CameraPosition.z,CameraEulerAngles.x,CameraEulerAngles.y,CameraEulerAngles.z,MainControllerPosition.x,MainControllerPosition.y,MainControllerPosition.z,MainControllerEulerAngles.x,MainControllerEulerAngles.y,MainControllerEulerAngles.z
0.5310998,1,Training,0,0,Flat,3,prepare,-0.06175869,1.391759,0.001493749,350.7928,269.9127,0.9206477,0,0,0,0,0,0
0.6088758,1,Training,0,0,Flat,3,prepare,-0.06174451,1.391769,0.001489487,350.784,269.9143,0.9250708,-0.265292,1.352535,-0.1021887,56.03788,276.0797,56.11535
0.6422084,1,Training,0,0,Flat,3,prepare,-0.0617694,1.391751,0.001502055,350.7994,269.922,0.9223635,-0.265335,1.352463,-0.1022144,56.01865,276.0578,56.10767
0.6644301,1,Training,0,0,Flat,3,prepare,-0.06176686,1.391754,0.001524917,350.7975,269.9445,0.9245619,-0.2653168,1.352489,-0.1022354,56.0171,276.0507,56.10041
0.675541,1,Training,0,0,Flat,3,prepare,-0.06188008,1.391672,0.001508444,350.8683,269.9375,0.9304941,-0.2653056,1.35248,-0.1021696,56.01498,276.0508,56.10052
0.6866519,1,Training,0,0,Flat,3,prepare,-0.06174233,1.391771,0.001501943,350.7824,269.9266,0.9263041,-0.265322,1.352479,-0.1021995,56.01408,276.0521,56.09982
0.6977627,1,Training,0,0,Flat,3,prepare,-0.06174678,1.391768,0.001501401,350.7852,269.9271,0.9270473,-0.2652227,1.352498,-0.1022964,56.01636,276.0534,56.10298
0.7088736,1,Training,0,0,Flat,3,prepare,-0.06180377,1.391727,0.001519798,350.8206,269.9381,0.922942,-0.265253,1.352515,-0.1022216,56.02092,276.0498,56.10016
0.7199845,1,Training,0,0,Flat,3,prepare,-0.06174573,1.391769,0.001519742,350.7844,269.9395,0.9242704,-0.2652568,1.3525,-0.102181,56.02092,276.0497,56.09903
0.7310953,1,Training,0,0,Flat,3,prepare,-0.06167223,1.391822,0.00151292,350.7385,269.9423,0.9314936,-0.265169,1.352497,-0.1021751,56.01791,276.0478,56.0971
