Layout,Accuracy
Flat,0.2
Full Circle,0.2
Flat,0.8
Full Circle,0.6
Flat,0.4
Full Circle,0.8
Flat,1.0
Full Circle,0.8
Flat,1.0
Full Circle,0.2
Flat,0.4
Full Circle,0.6
Flat,0.8
Full Circle,0.4
Flat,0.4
Full Circle,0.6
Flat,0.2
Full Circle,0.8
