Layout,Error
Flat,6
Full Circle,5
Flat,1
Full Circle,2
Flat,3
Full Circle,1
Flat,0
Full Circle,1
Flat,0
Full Circle,12
Flat,6
Full Circle,3
Flat,1
Full Circle,3
Flat,4
Full Circle,2
Flat,6
Full Circle,3
