TimeSinceStart,TrialNo,TrialID,ParticipantID,ExperimentSequence,Layout,Difficulty,TrialState,CameraPosition.x,CameraPosition.y,CameraPosition.z,CameraEulerAngles.x,CameraEulerAngles.y,CameraEulerAngles.z,MainControllerPosition.x,MainControllerPosition.y,MainControllerPosition.z,MainControllerEulerAngles.x,MainControllerEulerAngles.y,MainControllerEulerAngles.z
49.39778,1,Training,1,1,Flat,5,selectCards,0.3748079,0.2460851,-1.52929,12.36354,203.7401,16.54075,0.3310658,0.4273989,-1.607581,1.155233,237.8994,17.6914
49.40889,1,Training,1,1,Flat,5,selectCards,0.3765456,0.2391937,-1.523621,12.36608,204.4672,15.59195,0.3304384,0.4203627,-1.601146,1.403537,238.6193,17.84086
49.42,1,Training,1,1,Flat,5,selectCards,0.3786571,0.2324719,-1.5183,12.16807,205.2434,14.53008,0.3300252,0.413321,-1.594219,1.587342,239.3873,17.93431
49.43111,1,Training,1,1,Flat,5,selectCards,0.3807882,0.2257727,-1.512964,11.93973,206.0468,13.51558,0.3296382,0.4072489,-1.587493,1.695158,240.1818,18.12
49.44222,1,Training,1,1,Flat,5,selectCards,0.3830595,0.2194059,-1.508233,11.53859,206.8723,12.40023,0.3296014,0.4007386,-1.580553,1.829338,240.9379,18.54423
49.45333,1,Training,1,1,Flat,5,selectCards,0.3854949,0.2129721,-1.503521,11.09923,207.6972,11.35889,0.3292336,0.394835,-1.573876,1.985546,241.6486,18.93896
49.46445,1,Training,1,1,Flat,5,selectCards,0.3879184,0.2069443,-1.499365,10.54172,208.5262,10.33205,0.3295604,0.3885127,-1.566856,2.161934,242.2184,19.17697
49.47556,1,Training,1,1,Flat,5,selectCards,0.3905361,0.2009324,-1.495158,9.918725,209.3381,9.344729,0.3296006,0.3827964,-1.560286,2.4133,242.6983,19.23966
49.48667,1,Training,1,1,Flat,5,selectCards,0.3930743,0.1951436,-1.491144,9.237157,210.1815,8.366599,0.3302319,0.3767939,-1.553336,2.670328,243.2535,19.33427
49.49778,1,Training,1,1,Flat,5,selectCards,0.3956545,0.189733,-1.487484,8.421318,210.9807,7.410734,0.330955,0.3712345,-1.546711,2.938272,243.7373,19.41382
49.50889,1,Training,1,1,Flat,5,selectCards,0.3981384,0.184428,-1.483961,7.501969,211.7303,6.487576,0.3318629,0.3658786,-1.539726,3.107059,244.3278,19.3687
49.52,1,Training,1,1,Flat,5,selectCards,0.4006921,0.179634,-1.48051,6.664599,212.5087,5.558462,0.332993,0.3607434,-1.532453,3.257203,245.0053,19.1977
