Layout,Error
Flat,5
Full Circle,12
Flat,3
Full Circle,2
Flat,3
Full Circle,2
Flat,2
Full Circle,2
Flat,2
Full Circle,1
Flat,2
Full Circle,3
Flat,0
Full Circle,6
Flat,4
Full Circle,2
Flat,1
Full Circle,2
