ParticipantID,TrialNo,TrialID,Layout,Difficulty,AnswerAccuracy,Card1SeenTime,Card2SeenTime,Card3SeenTime,Card4SeenTime,Card5SeenTime,Card1SelectTime,Card2SelectTime,Card3SelectTime,Card4SelectTime,Card5SelectTime
10,3,1,Full Circle,5,0,0.7887225,3.843125,6.974761,7.452418,9.973431,2.765518,5.79749,8.363205,9.418196,10.9285
10,4,2,Flat,5,4,0.6887512,1.443972,1.588274,1.744755,7.729868,4.098138,5.175914,6.830334,9.018325,10.20662
10,5,3,Full Circle,5,0,0.7332177,3.154371,5.364743,8.752176,9.428436,2.321363,3.731947,6.908237,11.0288,12.07257
10,6,4,Flat,5,1,0.7331354,0.8220981,5.107087,5.163341,5.220048,3.243178,4.120569,6.730429,8.085489,10.11779
10,7,5,Full Circle,5,2,0.6997415,1.377218,7.785639,11.25052,14.18264,3.298594,6.208394,9.173847,12.35022,15.57095
10,8,6,Flat,5,5,0.01686902,0.8997125,0.9996688,5.386823,5.486616,3.365266,4.275852,7.330241,9.096261,11.4467
10,9,7,Full Circle,5,1,0.01791034,3.309739,5.25346,7.130304,9.307173,2.610097,4.475894,6.630712,8.296455,11.35051
10,10,8,Flat,5,1,1.033027,1.077578,5.553246,5.642106,5.719957,4.131868,5.298054,7.774493,9.529246,12.66129
10,11,9,Full Circle,5,3,0.7442182,5.35431,8.374081,10.96177,12.30588,3.321039,7.108095,9.762317,12.32789,14.02719
10,12,10,Flat,5,3,0.01640033,1.343715,1.354896,6.574743,6.652481,4.075788,5.55304,9.417965,11.40588,12.73771
10,13,11,Full Circle,5,4,0.8110501,1.88824,5.608689,8.118834,9.651711,4.120511,6.81933,9.162854,10.53989,12.52539
10,14,12,Flat,5,2,0.8331506,0.8776497,5.864286,5.953303,5.975612,3.387595,4.642839,8.351852,9.740311,10.82882
10,15,13,Full Circle,5,2,0.431505,3.498597,6.25306,7.352736,9.462665,2.687997,5.164536,7.407938,8.717177,11.0732
10,16,14,Flat,5,2,0.7665395,1.254992,1.288321,6.39702,6.430457,3.743085,4.509287,8.385113,10.6729,11.77319
10,17,15,Full Circle,5,2,0.01695275,3.39796,6.173666,7.730218,10.06225,1.988076,5.486495,7.152576,9.629384,11.65063
10,18,16,Flat,5,4,0.01645968,0.6775958,1.099656,1.177456,8.841485,3.676288,5.608921,8.396421,10.22873,12.98299
10,19,17,Full Circle,5,3,1.810749,5.553352,6.897091,9.0186,10.72865,3.687469,6.31963,8.207683,10.25126,11.43949
10,20,18,Flat,5,5,1.156298,1.156298,5.576613,5.798631,5.932005,3.744076,4.554811,7.142568,9.597172,10.77409
