Layout,Error
Flat,5
Circle,9
Flat,10
Circle,7
Flat,2
Circle,5
Flat,11
Circle,4
Flat,13
Circle,5
Flat,9
Circle,2
Flat,8
Circle,10
Flat,6
Circle,5
Flat,6
Circle,5
