Layout,Error
Full Circle,3
Flat,0
Full Circle,3
Flat,5
Full Circle,4
Flat,2
Full Circle,6
Flat,5
Full Circle,7
Flat,1
Full Circle,13
Flat,9
Full Circle,10
Flat,9
Full Circle,6
Flat,6
Full Circle,3
Flat,8
