Layout,Accuracy
Full Circle,0.4
Flat,0.6
Full Circle,0.2
Flat,0.4
Full Circle,0.4
Flat,0.8
Full Circle,0.2
Flat,0.8
Full Circle,0.2
Flat,0.8
Full Circle,0.6
Flat,0.6
Full Circle,0.2
Flat,0.6
Full Circle,0.0
Flat,0.4
Full Circle,0.2
Flat,1.0
