Layout,Accuracy
Flat,1
Full Circle,1
Flat,0
Full Circle,1
Flat,1
Full Circle,0
Flat,0
Full Circle,0
Flat,0
Full Circle,0
Flat,1
Full Circle,0
Flat,1
Full Circle,0
Flat,1
Full Circle,0
Flat,0
Full Circle,0
