Layout,Error
Flat,0
Full Circle,0
Flat,2
Full Circle,0
Flat,0
Full Circle,3
Flat,9
Full Circle,11
Flat,2
Full Circle,3
Flat,0
Full Circle,7
Flat,0
Full Circle,6
Flat,0
Full Circle,8
Flat,8
Full Circle,4
