Layout,Error
Full Circle,4
Flat,4
Full Circle,7
Flat,0
Full Circle,6
Flat,0
Full Circle,3
Flat,2
Full Circle,11
Flat,4
Full Circle,6
Flat,4
Full Circle,6
Flat,1
Full Circle,10
Flat,2
Full Circle,0
Flat,5
