ParticipantID,TrialNo,TrialID,Layout,Difficulty,AnswerAccuracy,Card1SeenTime,Card2SeenTime,Card3SeenTime,Card4SeenTime,Card5SeenTime,Card1SelectTime,Card2SelectTime,Card3SelectTime,Card4SelectTime,Card5SelectTime
9,3,1,Flat,5,3,0.9778309,1.200106,2.099715,8.84084,11.65081,5.38712,6.386477,8.074714,11.95067,13.48333
9,4,2,Full Circle,5,4,0.7662542,5.630873,8.174158,10.82838,14.30464,3.576307,7.030152,9.062835,11.5724,14.98219
9,5,3,Flat,5,3,0.6554917,1.46624,1.488389,6.330724,6.786016,3.820654,4.720405,8.029959,9.696096,11.29509
9,6,4,Full Circle,5,1,0.8442625,1.255305,8.573458,11.81702,18.06979,3.93185,5.742011,10.15137,13.11648,18.81395
9,7,5,Flat,5,5,0.01661079,1.210739,1.643934,2.13263,10.56208,4.52045,5.320052,7.252889,10.11785,14.14924
9,8,6,Full Circle,5,1,0.8221511,0.8444375,4.398137,9.540574,11.45042,3.376582,5.719836,8.873935,10.48426,12.1392
9,9,7,Flat,5,1,0.7557768,0.7889836,1.499661,1.866001,9.763136,4.420903,5.909252,8.329988,10.51768,12.74992
9,10,8,Full Circle,5,3,0.01664993,2.465765,10.66196,14.47141,16.15954,5.308644,6.897024,11.62793,15.33739,16.45915
9,11,9,Flat,5,2,0.02164129,4.253819,4.253819,9.440563,9.662313,3.354463,7.285697,8.163064,13.5273,16.18191
9,12,10,Full Circle,5,3,1.021466,5.386127,7.818361,11.16117,14.71527,4.231144,6.030262,9.09562,12.17194,15.41513
9,13,11,Flat,5,4,0.01744809,2.487717,2.643197,10.81713,11.4171,6.796807,7.663188,8.973813,12.8274,13.72572
9,14,12,Full Circle,5,4,1.110993,5.508991,8.984962,12.89428,17.33675,3.176733,6.408674,10.21791,14.33835,18.19196
9,15,13,Flat,5,5,0.7888278,1.877095,1.943785,13.5609,13.68286,5.997532,6.908234,9.29536,14.849,15.45984
9,16,14,Full Circle,5,0,0.01799987,2.765411,6.585853,9.107222,11.17279,2.154552,3.986996,8.162989,9.973376,13.4161
9,17,15,Flat,5,4,0.01869023,0.01869023,2.187689,10.11784,10.30644,6.086059,7.452251,9.551514,12.18346,13.88262
9,18,16,Full Circle,5,5,0.01799345,1.088277,6.075101,10.76218,14.94842,2.865042,4.242243,7.418672,12.49433,16.21451
9,19,17,Flat,5,5,0.6882451,1.2329,1.388221,6.430514,12.23902,4.55354,5.453176,10.45093,13.68285,14.51572
9,20,18,Full Circle,5,2,3.809609,6.719165,8.962542,12.7385,14.23784,4.697969,7.507711,10.25088,13.5607,15.64934
