Layout,Error
Flat,2
Full Circle,1
Flat,5
Full Circle,6
Flat,0
Full Circle,6
Flat,6
Full Circle,2
Flat,3
Full Circle,2
Flat,1
Full Circle,1
Flat,0
Full Circle,12
Flat,11
Full Circle,0
Flat,0
Full Circle,11
