Layout,Accuracy
Flat,0
Full Circle,0
Flat,0
Full Circle,0
Flat,1
Full Circle,0
Flat,0
Full Circle,0
Flat,0
Full Circle,0
Flat,0
Full Circle,0
Flat,0
Full Circle,0
Flat,0
Full Circle,0
Flat,0
Full Circle,0
