Layout,Error
Flat,0
Full Circle,1
Flat,0
Full Circle,0
Flat,0
Full Circle,0
Flat,6
Full Circle,4
Flat,1
Full Circle,0
Flat,2
Full Circle,0
Flat,0
Full Circle,2
Flat,0
Full Circle,11
Flat,0
Full Circle,5
